,sum_sq,df,F,PR(>F)
Both_case_control,0.5309478560695683,1.0,2.005844009100792,0.16699416357811134
A_SMK_CIG_CUR_FREQ,0.35551090045235856,1.0,1.3430686303570956,0.25563548658411955
F1_SDC_AGE_CALC,0.2231433608731022,1.0,0.8430032600400627,0.3658624644926205
SDC_GENDER,0.2255262624203437,1.0,0.852005516548252,0.36335032514698107
A_HS_DENTAL_VISIT_LAST,1.012428880318439,1.0,3.824809500617473,0.05986849618756477
PM_BIOIMPED_BMI,0.9540133552298868,1.0,3.604124117490139,0.06729354133830114
PM_BIOIMPED_WEIGHT,0.9543999039137118,1.0,3.605584442365383,0.06724112756226246
PM_WAIST_AVG,0.12751513346578935,1.0,0.48173368365297264,0.4929780966245012
PM_WAIST_HIP_RATIO,0.17138219473516214,1.0,0.6474570800998352,0.42735436936103177
PM_STANDING_HEIGHT_AVG,0.7250126053928441,1.0,2.7389924913064263,0.10835263562650607
A_SLE_LIGHT_EXP,0.05023122815363646,1.0,0.18976629608717172,0.6662296149610032
NUT_VEG_DAY_QTY,0.44945395530967774,1.0,1.697971869212044,0.20246668381810765
NUT_JUICE_DAY_QTY,0.30883817568477284,1.0,1.1667458440546954,0.2886785022754645
REFINED_GRAIN_SERVINGS_DAY_QTY,0.044533880651747966,1.0,0.16824254338003009,0.6845930536942115
PM_BIOIMPED_FFM,0.11415593486466073,1.0,0.4312645685145729,0.5163754792634605
SALT_SEASONING,0.3372187200917413,1.0,1.2739634254479948,0.2679698550472821
NUTS_SEEDS_SERVINGS_PER_DAY,0.04684753292465489,1.0,0.17698318617140943,0.6769772297109892
Residual,7.941014161528779,30.0,,
