,sum_sq,df,F,PR(>F)
CASE_CONTROL,3.8664423819404274,1.0,14.577839464313456,0.00017316244494329982
A_SMK_CIG_CUR_FREQ,0.13530570281554874,1.0,0.5101498016533913,0.47580140973470963
F1_SDC_AGE_CALC,0.27501194549573643,1.0,1.0368911769980536,0.3096201903860388
SDC_GENDER,0.6530071728813442,1.0,2.462065329040792,0.11800604761139115
PM_BIOIMPED_WEIGHT,0.08378587337264752,1.0,0.3159020336391942,0.5746305548092383
PM_WAIST_AVG,0.11697302819301178,1.0,0.44102920933650447,0.507294209007496
PM_WAIST_HIP_RATIO,0.0007111831683978089,1.0,0.002681409170106909,0.95874728002528
PM_STANDING_HEIGHT_AVG,0.1812429437846996,1.0,0.6833492594830677,0.40929628193519396
A_SLE_LIGHT_EXP,0.41588258608526507,1.0,1.5680227395272555,0.211771771999566
NUT_VEG_DAY_QTY,0.009267975788198272,1.0,0.03494350874865308,0.8518795884231105
REFINED_GRAIN_SERVINGS_DAY_QTY,0.052789225573261954,1.0,0.19903383519871115,0.6559233790281886
PM_BIOIMPED_FFM,0.45246711361415953,1.0,1.7059591980362592,0.19282089828891746
Residual,60.73707339361598,229.0,,
