,sum_sq,df,F,PR(>F)
Both_case_control,0.0066316650357795106,1.0,1.5657576912388924,0.22049427465455307
A_SMK_CIG_CUR_FREQ,0.00673134186848228,1.0,1.5892917157411341,0.21714440742904692
F1_SDC_AGE_CALC,0.004323303419198176,1.0,1.0207460032506397,0.32042188999825244
SDC_GENDER,0.004913902291404834,1.0,1.1601883185071271,0.2900121021727459
A_HS_DENTAL_VISIT_LAST,0.0073583260966222945,1.0,1.7373247319141705,0.197454380828641
PM_BIOIMPED_BMI,0.005725398087816774,1.0,1.351785116262259,0.25413188801170844
PM_BIOIMPED_WEIGHT,0.0057068166893636495,1.0,1.3473979876324222,0.2548872521639651
PM_WAIST_AVG,0.002864447250712795,1.0,0.6763053154454856,0.41735067690244965
PM_WAIST_HIP_RATIO,0.0040629420943721056,1.0,0.9592738473669931,0.3352027006462899
PM_STANDING_HEIGHT_AVG,0.005125739019240472,1.0,1.2102036591653185,0.28004123653225294
A_SLE_LIGHT_EXP,1.7058094603658778e-05,1.0,0.004027471634869738,0.9498192999570576
NUT_VEG_DAY_QTY,0.008000019720350129,1.0,1.888830684242885,0.17951465235702954
NUT_JUICE_DAY_QTY,0.007645712558681196,1.0,1.8051776106254618,0.18916291503628715
REFINED_GRAIN_SERVINGS_DAY_QTY,0.0008046078039092128,1.0,0.18997052031497857,0.666061462557958
PM_BIOIMPED_FFM,0.0016990196531162301,1.0,0.40114406790452084,0.5312981981073123
SALT_SEASONING,0.0014414785163303018,1.0,0.34033776759270545,0.5639948061846738
NUTS_SEEDS_SERVINGS_PER_DAY,0.00039297813718775843,1.0,0.09278341675442295,0.7627711111690099
Residual,0.1270630520843668,30.0,,
