,sum_sq,df,F,PR(>F)
Both_case_control,0.0082147851828817,1.0,1.824540227827444,0.18544261493737157
A_SMK_CIG_CUR_FREQ,0.011313982388147058,1.0,2.5128856743718453,0.12191398154712117
F1_SDC_AGE_CALC,0.004436942440446891,1.0,0.9854645971777454,0.3276672196887038
SDC_GENDER,0.0020845857515817876,1.0,0.46299574212148337,0.5007039501009036
PM_BIOIMPED_WEIGHT,4.207774712067254e-05,1.0,0.009345654281745452,0.923537595991261
PM_WAIST_AVG,1.974490623423625e-05,1.0,0.004385431258034118,0.9475774495233688
PM_WAIST_HIP_RATIO,0.0007996624796385658,1.0,0.1776085838282375,0.6760135832091886
PM_STANDING_HEIGHT_AVG,0.0010414667382588855,1.0,0.2313143822503455,0.6335440093390822
A_SLE_LIGHT_EXP,0.0013230021831349757,1.0,0.2938446533773537,0.5912020516117571
NUT_VEG_DAY_QTY,0.009911595490349314,1.0,2.201409323737374,0.14683494780572026
REFINED_GRAIN_SERVINGS_DAY_QTY,0.0005403583687568036,1.0,0.12001599059394448,0.7310912737763648
PM_BIOIMPED_FFM,0.0003408252356679009,1.0,0.07569879665638596,0.7848309331334575
Residual,0.1575835254360045,35.0,,
