,sum_sq,df,F,PR(>F)
Crohn_case_control,0.017463223039911595,1.0,4.544693873699971,0.03560085215532011
A_SMK_CIG_CUR_FREQ,0.000173818625286555,1.0,0.04523520312770146,0.8320278377516143
F1_SDC_AGE_CALC,0.0020215881232653874,1.0,0.5261055841725846,0.4700317223496753
SDC_GENDER,0.008635839956432235,1.0,2.2474229902780696,0.13715297379496222
PM_BIOIMPED_WEIGHT,0.012388511436248634,1.0,3.224032121671064,0.07574408033859983
PM_WAIST_AVG,0.007854929346816142,1.0,2.044195919575345,0.15606817964116382
PM_WAIST_HIP_RATIO,0.005197292678944941,1.0,1.3525627052832025,0.24774360971743406
PM_STANDING_HEIGHT_AVG,0.014336633958417768,1.0,3.7310187455883304,0.05639107760348934
A_SLE_LIGHT_EXP,0.00011591046766400075,1.0,0.030164969609925426,0.862485992026486
NUT_VEG_DAY_QTY,0.0013888917963401097,1.0,0.36145034760381767,0.5491337347449639
REFINED_GRAIN_SERVINGS_DAY_QTY,0.00033391440650755964,1.0,0.08689912246592654,0.7688001540407066
PM_BIOIMPED_FFM,0.005635930228362823,1.0,1.4667153665106407,0.2288688057150779
Residual,0.3650424505800553,95.0,,
