,sum_sq,df,F,PR(>F)
CASE_CONTROL,0.008962819323969667,1.0,4.538255438743785,0.034211819757179636
A_SMK_CIG_CUR_FREQ,0.0018401663486972031,1.0,0.9317542436490419,0.3354257542612653
F1_SDC_AGE_CALC,0.0015319853677234854,1.0,0.7757091464014583,0.3793800582610667
SDC_GENDER,0.0012631075806023725,1.0,0.6395649226195002,0.42469716274828895
PM_BIOIMPED_WEIGHT,0.0011448295528805462,1.0,0.5796757423080169,0.4472227794274033
PM_WAIST_AVG,0.0017129198829420958,1.0,0.8673239629080626,0.35267798474394574
PM_WAIST_HIP_RATIO,0.0013807486424688186,1.0,0.6991315801116578,0.4039472599024321
PM_STANDING_HEIGHT_AVG,0.0004677950363133218,1.0,0.2368644609502187,0.6269454648243578
A_SLE_LIGHT_EXP,0.0017195268065718916,1.0,0.8706693284691085,0.3517528493517018
NUT_VEG_DAY_QTY,0.0003434613109242324,1.0,0.17390902415397647,0.6770515086881688
REFINED_GRAIN_SERVINGS_DAY_QTY,0.0004095725784896259,1.0,0.20738396197722472,0.649257081087753
PM_BIOIMPED_FFM,0.00023453286071651065,1.0,0.11875393135108178,0.7307061678487838
Residual,0.45226313346460584,229.0,,
